,scientificName,sourceTaxonId,interactionTypeName,targetTaxonId,targetTaxonName,referenceCitation,sourceDOI
7231717,Haemocystidium kopki,no:match,hasHost,EOL:962205,Teratoscincus scincus,http://arctos.database.museum/guid/HWML:Para:57652,
5924954,Alphainfluenzavirus influenzae,no:match,hasHost,GBIF:2473551,Meleagris gallopavo,"Influenza A virus (A/turkey/France/09010-2/2009(H6N1)) segment 6 neuraminidase (NA) gene, complete cds",
6770141,Meringis parkeri,EOL:705308,parasiteOf,EOL:328115,Dipodomys ordii,http://arctos.database.museum/guid/MSB:Para:9301,
9121392,Phytocoris cuneotinctus,no:match,interactsWith,EOL:37674,Atriplex,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
19563962,Plasmodium agamae,EOL_V2:10590694,hasHost,EOL:815935,Agama agama,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57510853,
7781243,Arthropoda,EOL:164,hemiparasiteOf,GBIF:5706762,Myodes rutilus,http://arctos.database.museum/guid/UAM:Mamm:93298,
859791,Avian metapneumovirus,NCBI:38525,hasHost,NCBI:9103,Meleagris gallopavo,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
63968,Uroleucon formosanum,EOL:3689997,eats,EOL:60801,Sonchus,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",10.5281/zenodo.258220
4216131,Rabbit hemorrhagic disease virus,EOL:541574,hasHost,EOL:327977,Oryctolagus cuniculus,Wardeh et al. 2015 Sci Data,
8613124,Orthotylus mistus,no:match,interactsWith,GBIF:2974751,Vicia,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",
10162233,Lactarius cyathula,GBIF:5248615,hasHost,no:match,Substrate Undetermined,tmp_host_info-20200902.csv.gz,
3145032,Satyrium edwardsii,INAT_TAXON:81566,visitsFlowersOf,INAT_TAXON:47912,Asclepias tuberosa,Joanne Redwood. 2017. Satyrium edwardsii nectar plant Asclepias tuberosa. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/7095875> on 11 Sep 2023.,
8924737,Lysiphlebus  Lysiphlebus,no:match,adjacentTo,no:match,: Chrysanthemum sp.,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
1217577,Uukuniemi uukuvirus,NCBI:2749936,hasHost,NCBI:9913,Bos taurus,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
1953372,Nomophila nearctica,EOL:457314,interactsWith,EOL:457314,Nomophila nearctica,associations_all_revised.txt,
9017723,Ulmica baicalica,no:match,interactsWith,ITIS:19048,Ulmus,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
8934614,Prociphilus  Neoparacletus corrugatans,no:match,interactsWith,EOL:29970,Amelanchier,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
10437888,Colletotrichum aquatile,GBIF:3458264,hasHost,GBIF:2705315,Catabrosa aquatica,tmp_host_info-20200902.csv.gz,
10226384,Gyrothrix circinata,GBIF:2590043,hasHost,GBIF:3190002,Litchi chinensis,tmp_host_info-20200902.csv.gz,
4640741,Zaire ebolavirus,NCBI:186538,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
5949877,Alphainfluenzavirus influenzae,no:match,hasHost,EOL_V2:1049367,Arenaria interpres,Influenza A virus (A/ruddy turnstone/New Jersey/Sg-00475/2008(H4N6)) segment 6 sequence,
8676647,Ceratocapsus barbatus,no:match,interactsWith,EOL:1033063,Pinus virginiana,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",
9764206,Puccinia graminis,EOL:1029947,hasHost,GBIF:2705290,Avena sativa,tmp_host_info-20200902.csv.gz,
1950266,Puccinia hieracii hieracii,EOL_V2:6776335,interactsWith,EOL:486356,Hieracium umbellatum,associations_all_revised.txt,
6779990,Puumala orthohantavirus,NCBI:1980486,hasHost,NCBI:447135,Myodes glareolus,"Plyusnin A, Vapalahti O, Lehväslaiho H, Apekina N, Mikhailova T, Gavrilovskaya I, Laakkonen J, Niemimaa J, Henttonen H, Brummer-Korvenkontio M, Genetic variation of wild Puumala viruses within the serotype, local rodent populations and individual animal. Virus Res 1995, 38(1):25-41.",10.1016/j.jgg.2017.04.004
10312391,Erysiphe cruciferarum,GBIF:2578322,hasHost,EOL:644109,Thermopsis montana,tmp_host_info-20200902.csv.gz,
9013029,Orthotylus kanakanus,no:match,interactsWith,GBIF:2911368,Coprosma,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
8207189,BOLD:AAA1638,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA1638,hasHost,GBIF:9973336,Astraptes augeas,http://bins.boldsystems.org/index.php/Public_RecordView?processid=ASID370-07,
4294026,Diatrype stigma,NBN:NBNSYS0000015837,eats,bioinfo:taxon:135855,Broadleaved trees,"Ellis, M.B. & J.P.. 1997. Microfungi on Land Plants: An Identification Handbook. The Richmond Publishing Co. Ltd. 2nd (New Enlarged)",10.5281/zenodo.1419646
6907609,Bathyraja parmifera,EOL_V2:222933,eats,FBC:FB:SpecCode:4092,Gymnocanthus tricuspis,https://apps-afsc.fisheries.noaa.gov/refm/reem/webdietdata/showdata5.php?NODC=1&Region=BS,10.5281/zenodo.5181449
9949321,Phyllosticta livida,GBIF:3515554,hasHost,GBIF:2878470,Quercus bicolor,tmp_host_info-20200902.csv.gz,
5571292,Betainfluenzavirus influenzae,no:match,hasHost,GBIF:2436436,Homo sapiens,"Influenza B virus (B/Pennsylvania/34/2016) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds",
4634491,Lyssavirus rabies,NCBI:11292,hasHost,NCBI:9622,Lycaon pictus,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
7584079,Chiloscyphus subporosus var. subporosus,ALATaxon:https://id.biodiversity.org.au/node/ausmoss/2908459,adjacentTo,no:match,old logs,b201a463-39e2-4481-a06f-5d829e227d99,
4323185,Trematomus pennellii,EOL_V2:224802,preysOn,EOL_V2:1183,Decapoda,"Jacob, Brey & Mintenbeck unpublished",10.1890/05-0379
6688633,Callohesma flavopicta,GBIF:1349190,hasHost,no:match,Myrtaceae Eucalyptus gracilis,782ebd59-13e2-4f05-bbfa-eaf31cef90e6,
9044495,Deraeocoris brevis,GBIF:8417079,interactsWith,GBIF:5370313,Purshia tridentata,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
5016734,Influenza A virus,NCBI:11320,hasHost,NCBI:8839,Anas platyrhynchos,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
9387668,Uromyces minor,EOL:159395,hasHost,GBIF:5359047,Trifolium montanum,tmp_host_info-20200902.csv.gz,
9847758,Puccinia andropogonis,INAT_TAXON:628443,hasHost,EOL:489634,Comandra umbellata,tmp_host_info-20200902.csv.gz,
9705212,Puccinia obliqua,GBIF:2515001,hasHost,IRMNG:10739468,Funastrum hirtellum,tmp_host_info-20200902.csv.gz,
6563082,undet. Conchostraca,no:match,adjacentTo,no:match,same slab: IP.423527,http://collections.peabody.yale.edu/search/Record/YPM-IP-423523,
4077863,Elassoma,ITIS:168168,interactsWith,GBIF:5329570,Hydrilla verticillata,FWCBN638,
6575584,Atrypa,GBIF:4572358,interactsWith,no:match,IP.226142,http://collections.peabody.yale.edu/search/Record/YPM-IP-553511,
329544,Lasiodiplodia theobromae,EOL:156591,hasHost,EOL:126868,Araucaria cunninghamii,http://www.ncbi.nlm.nih.gov/nuccore/378830108,10.5281/zenodo.258189
7081846,Acanthogobius lactipes,FBC:FB:SpecCode:23696,eats,EOL_V2:2598871,Crustacea,"Kanou, K., M. Sano and H. Kohno. 2004. Food habits of fishes on unvegetated tidal mudflats in Tokyo Bay, central Japan. Fish. Sci. 70(6):978-987.",
2493188,Parmelia,ALATaxon:https://id.biodiversity.org.au/name/apni/120828,adjacentTo,EOL:323438,Pinus occidentalis,http://n2t.net/ark:/65665/34cf7df6c-3346-43ce-bdc2-48f187dc9670,
7128437,Reinhardtius hippoglossoides,FBC:FB:SpecCode:516,eats,EOL_V2:2773054,Gnathostomata,"Chuchukalo, V.I., L.S. Kodolov and V.N. Tuponogov. 1998. Feeding of some commercial fishes on the continental slope of the Far Eastern seas. Izv. TINRO 124:570-583.",
8355171,Macronus gularis,GBIF:6100835,eats,GBIF:3661076,Toxicodendron rhetsoides,M_SD_001,
10387631,Cylindrosporium irregulare,GBIF:3486059,hasHost,EOL:582281,Toxicodendron radicans,tmp_host_info-20200902.csv.gz,
187191,Vesicular stomatitis virus,EOL_V2:11624320,hasHost,EOL_V2:4445650,Sus scrofa domesticus,http://www.ncbi.nlm.nih.gov/pubmed/19264610,10.5281/zenodo.258189
8282955,Sternula antillarum,NCBI:471862,preysOn,EOL_V2:217614,Dorosoma petenense,"Atwood, JL, PR Kelly. 1984. Fish dropped on breeding colonies as indicators of. Wilson Bulletin. v.96. pp.34-47",10.5061/dryad.nv5d2
3911254,Acleris issikii,no:match,hasHost,GBIF:3805456,Populus sieboldii,doi:10.5519/qd.bsucrxdz,
4958939,Avian coronavirus,NCBI:694014,hasHost,NCBI:9031,Gallus gallus,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
120111,Crimean-Congo hemorrhagic fever virus,EOL_V2:740885,hasHost,EOL:327955,Homo sapiens,http://www.ncbi.nlm.nih.gov/nuccore/190148675,10.5281/zenodo.258189
685159,Phoebis sennae,EOL:180540,visitsFlowersOf,EOL:581125,Catharanthus roseus,"McCullen, C. K. 1993. Flower-visiting insects of the Galapagos Islands. Pan-Pacific Entomologist 69:95-106.",10.5281/zenodo.258201
563699,Eutrigla gurnardus,FBC:FB:SpecCode:68,eats,EOL:2775704,Osteichthyes,https://www.cefas.co.uk/umbraco/CefasPlugins/DapstomSurface/Download?searchType=predator&species=GUG&years=2011&years=2010&years=2006&years=2005&years=2004&years=2002&years=1991&years=1983&years=1982&years=1981&years=1978&years=1977&years=1968&years=1962&years=1958&years=1957&years=1952&years=1936&years=1935&years=1929&years=1928&years=1919&years=1917&years=1908&years=1907&years=1906&years=1905&years=1904&years=1903&years=1902&years=1901&years=1900&years=1899&years=1897&years=1896&years=1894&years=1891&years=1890&years=1889&years=1888&areas=VIIg&areas=VIIh&areas=VIa&areas=VII&areas=VIIj&areas=VIIa&areas=IVb&areas=IVa&areas=VIIe&areas=VIIf&areas=IVc&areas=VIIIa&minlength=0&maxlength=1000&nullLengths=true,10.5281/zenodo.258222
3427298,Hemileius initialis,GBIF:2189958,eats,no:match,mykorrhiza,Cattin Blandenier (2004),
7957350,Nuttallanthus texanus,INAT_TAXON:78235,adjacentTo,no:match,igneous rock substrate in mesic canyon bottom with oaks,http://arctos.database.museum/guid/UTEP:Herb:31370,
1509217,Aglais urticae,GBIF:1894840,visitsFlowersOf,EOL:467862,Cichorium intybus,interactions.csv,
5576125,Alphainfluenzavirus influenzae,no:match,hasHost,NCBI:75845,Anas flavirostris,"Influenza A virus (A/yellow-billed teal/Chile/C8711/2016(H11N9)) segment 4 hemagglutinin (HA) gene, complete cds",
3249259,Bubo virginianus,EOL_V2:914958,eats,GBIF:2438655,Microtus pennsylvanicus,urn:catalog:RSKM:OWLPELLET:OP-1808.0002,10.5886/f0xsbu
290909,Polyplastron multivesiculatum,EOL_V2:12147009,hasHost,EOL:311906,Ovis aries,http://www.ncbi.nlm.nih.gov/pubmed/7576513,10.5281/zenodo.258189
9599436,Ravenelia texensis,GBIF:7239214,hasHost,GBIF:5360088,Desmanthus cooleyi,tmp_host_info-20200902.csv.gz,
7414338,Protandrena (Pterosarus) albitarsus innuptus,no:match,interactsWith,EOL:467866,Rudbeckia hirta,412cfc7d-1ed6-11e3-bfac-90b11c41863e,
8617101,Arctostaphylocoris manzanitae,no:match,interactsWith,EOL:583645,Arctostaphylos viscida,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",
8110357,BOLD:AAA3751,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3751,hasHost,GBIF:2721893,Carex,http://bins.boldsystems.org/index.php/Public_RecordView?processid=CNWAH5985-15,
2668137,Odontotarsus grammicus,INAT_TAXON:367083,eats,INAT_TAXON:79009,Scolymus hispanicus,aggranada. 2021. Odontotarsus grammicus host plant Scolymus hispanicus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/89391368> on 11 Sep 2023.,
3513538,Pieris rapae,EOL:176683,visitsFlowersOf,EOL:583898,Brassica rapa,Supplement+1_+Garden+plant-pollinator+data.csv,
8266053,Brucella sp.,NCBI:52132,hemiparasiteOf,FBC:SLB:SpecCode:69571,Monachus schauinslandi,Kennedy et al. 2003,
8069014,BOLD:AAA5981,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA5981,hasHost,GBIF:3695801,Cespedesia spathulata,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MHAHH803-06,
5025132,Duck circovirus,NCBI:324685,hasHost,GBIF:2498056,Anas,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
5315151,Alphainfluenzavirus influenzae,no:match,hasHost,EOL:8027,Anatidae,"Influenza A virus (A/Duck/China/B7_NP/2019(H5N6)) segment 5 nucleocapsid protein (NP) gene, complete cds",
10189672,Hypocrea citrina,GBIF:2561503,hasHost,GBIF:2549834,Ganoderma applanatum,tmp_host_info-20200902.csv.gz,
19449883,Gadus morhua,EOL_V2:206692,eats,EOL_V2:1022194,Atelecyclus rotundatus,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, ICES",
7798052,Cediopsylla simplex,GBIF:1419499,hasHost,NCBI:9685,Felis catus,http://arctos.database.museum/guid/HWML:Para:76528,
8691258,Pygovepres vaccinicola,GBIF:7466189,interactsWith,GBIF:2878266,Quercus douglasii,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",
2918862,Aglais io,INAT_TAXON:207977,eats,INAT_TAXON:60132,Cirsium arvense,Mathieu Hanon. 2021. Aglais io nectar / pollen delivering plant Cirsium arvense. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/91092668> on 11 Sep 2023.,
7464659,Perdita,EOL:2748479,interactsWith,GBIF:5389029,Solidago canadensis,1e8cffb1-1ed6-11e3-bfac-90b11c41863e,
4557167,Rotavirus C,NCBI:36427,hasHost,NCBI:9823,Sus scrofa,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
13831321,Bat alphacoronavirus,NCBI:2419667,hasHost,EOL:327863,Artibeus jamaicensis,"Bat alphacoronavirus isolate batCov/Ar_jam/IIBT208/COL/2022 RNA-dependent RNA polymerase gene, partial cds",
8593982,Radix balthica,GBIF:5724457,eats,no:match,CPOM,"Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.",
2669115,Melissodes trinodis,INAT_TAXON:134149,eats,INAT_TAXON:57983,Helianthus annuus,David Mantack. 2023. Melissodes trinodis interaction->visited flower of Helianthus annuus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/172030291> on 11 Sep 2023.,
7011104,Rabaulichthys suzukii,FBC:FB:SpecCode:61271,eats,EOL:1,Animalia,"Masuda, H. and J.E. Randall. 2001. <i>Rabaulichthys suzukii</i>, a new anthiine fish from Japan. Ichthyol. Res. 48(1):77-81.",
5623756,Alphainfluenzavirus influenzae,no:match,hasHost,GBIF:2440886,Equus caballus,"Influenza A virus (A/equine/Sao_Paulo/30.FMVZ/2015(H3N8)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",
19747132,Cythospirura chevreuxi,no:match,interactsWith,no:match,host,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13561102,
19485615,Hernandia nukuhivensis,GBIF:9406903,adjacentTo,no:match,ridge sides,64e0ba46-497c-4587-aa71-dcf0aca0fdec,
364362,Subulura helicospicula,GBIF:8985226,parasiteOf,GBIF:2496397,Zanclostomus curvirostris,cleaned_up.tsv,
5204642,Alphainfluenzavirus influenzae,no:match,hasHost,EOL_V2:913235,Branta canadensis,"Influenza A virus (A/Canada Goose/Missouri/22-012338-029/2022(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",
4294799,Claussenomyces olivaceus,NBN:NBNSYS0000017142,eats,NBN:NHMSYS0000461246,Picea,"Ellis, M.B. & J.P.. 1997. Microfungi on Land Plants: An Identification Handbook. The Richmond Publishing Co. Ltd. 2nd (New Enlarged)",10.5281/zenodo.1419646
3817086,Serica cuyamaca,GBIF:1052403,eats,GBIF:2889433,Eriogonum fasciculatum,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57872548,
551751,Melanogrammus aeglefinus,EOL_V2:212899,eats,EOL_V2:206848,Argentina sphyraena,https://www.cefas.co.uk/umbraco/CefasPlugins/DapstomSurface/Download?searchType=predator&species=HAD&years=2011&years=2010&years=2008&years=2006&years=2005&years=2004&years=2002&years=2001&years=1994&years=1993&years=1992&years=1991&years=1990&years=1988&years=1987&years=1986&years=1985&years=1984&years=1983&years=1982&years=1981&years=1979&years=1978&years=1977&years=1968&years=1964&years=1963&years=1961&years=1959&years=1958&years=1957&years=1956&years=1955&years=1954&years=1952&years=1951&years=1950&years=1949&years=1937&years=1936&years=1930&years=1908&years=1907&years=1905&years=1904&years=1903&years=1902&years=1901&years=1894&years=1891&years=1890&years=1889&years=1888&years=1886&years=1885&years=1847&areas=IIa&areas=IVb/IVc&areas=VII&areas=VIIj&areas=VIIa&areas=VIa&areas=VIIg&areas=VIIh&areas=IVa&areas=VIIb&areas=VIIe&areas=VIIf&areas=IVb&areas=IVa&areas=Ib&areas=I&areas=IIb&areas=IVc&areas=VIIIa&minlength=0&maxlength=1000&nullLengths=true,10.5281/zenodo.258222
6603479,Corbulamella,GBIF:4587260,adjacentTo,no:match,same slab: IP.903260,http://collections.peabody.yale.edu/search/Record/YPM-IP-903302,
1108673,Human alphaherpesvirus 1,NCBI:10298,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
3778674,Falco rusticolus,EOL_V2:1049156,eats,GBIF:2426805,Rana temporaria,https://datadryad.org/stash/downloads/file_stream/375180,
6585653,undet. Bivalvia,no:match,adjacentTo,no:match,same slab: IP.654725,http://collections.peabody.yale.edu/search/Record/YPM-IP-654738,
8371425,Pipreola riefferii,EOL:917015,eats,GBIF:3870543,Miconia ceramicarpa,M_SD_001,
10588326,Aecidium serjaniae,GBIF:3374699,hasHost,GBIF:5576692,Serjania tailloniana,tmp_host_info-20200902.csv.gz,
6579170,undet. Bivalvia,no:match,adjacentTo,no:match,same slab: IP.344576,http://collections.peabody.yale.edu/search/Record/YPM-IP-344679,
7010172,Gadus macrocephalus,FBC:FB:SpecCode:308,eats,FBC:SLB:SpecCode:26935,Chionoecetes bairdi,https://apps-afsc.fisheries.noaa.gov/refm/reem/webdietdata/showdata5.php?NODC=1&Region=AI,10.5281/zenodo.5181449
4565134,Porcine circovirus 3,NCBI:1868221,hasHost,NCBI:9823,Sus scrofa,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
10451955,Coleosporium ipomoeae,INAT_TAXON:350392,hasHost,GBIF:2928636,Ipomoea setifera,tmp_host_info-20200902.csv.gz,
8988556,Aleurodicus,GBIF:2012121,interactsWith,COL:6QZ63,Melicoccus bijugatus,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
61131,Metarhizium anisopliae,EOL:992622,pathogenOf,EOL:291813,Acrossidius tasmaniae,"Humber, R.A. 1999? Collection of entomopathogenic fungal cultures (unpublished) U.S. Department of Agriculture, Agriculture Research Service, Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.",10.5281/zenodo.258220
19833417,Drassyllus covensis,GBIF:2133023,interactsWith,no:match,leaf litter,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=64364735,
10218926,Metatrichia vesparia ex,GBIF:5426334,hasHost,no:match,Substrate Undetermined,tmp_host_info-20200902.csv.gz,
3735360,Erinaceus roumanicus,GBIF:5219618,eats,NCBI:1928434,Betacoronavirus sp.,https://datadryad.org/stash/downloads/file_stream/375180,
259390,Parascaris equorum,EOL:2925247,hasHost,EOL:327955,Homo sapiens,http://www.ncbi.nlm.nih.gov/pubmed/9694283,10.5281/zenodo.258189
19740230,Ascocotyle,GBIF:2505556,interactsWith,no:match,Butorides viridescens (Ardeidae),https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13562174,
19910562,Megachile inermis,EOL:2751444,interactsWith,EOL:30108,Rubus,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=64843182,
9750592,Puccinia helianthi,GBIF:2514687,hasHost,EOL:591753,Helianthus grosseserratus,tmp_host_info-20200902.csv.gz,
8374593,Monophyllus redmani,EOL:327944,eats,EOL:5431006,Conostegia xalapensis,M_SD_001,
1823126,Acari,EOL:2586535,hasHost,GBIF:6275298,Platycycla deruta,doi:10.15468/tmxd7n,
6336585,Gastropoda,EOL:2366,eats,ENVO:01000155,Detritus,"C.A. Carlson. (1968). Summer Bottom Fauna of the Mississippi River, above Dam 19, Keokuk, Iowa. Ecology. 49(1), pp. 162-169.",
10278137,Fusoidiella depressa,GBIF:9682697,hasHost,GBIF:5371822,Angelica atropurpurea,tmp_host_info-20200902.csv.gz,
1115003,Hepatitis B virus,NCBI:10407,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
7301360,Amblyomma cajennense,EOL:514380,hasHost,GBIF:2496459,Geococcyx californianus,http://arctos.database.museum/guid/HWML:Para:90244,
1966908,Raphicerus sharpei,EOL:1038781,interactsWith,EOL:312855,Caracal caracal,associations_all_revised.txt,
19158397,Sympiesis elaeagni,GBIF:1385806,parasiteOf,26138,Apotomis lutozana,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
19929119,Plagiorchiida,GBIF:434,hasHost,EOL:50346,Stagnicola,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56338106,
10638268,Octopus briareus,EOL:492284,eats,EOL_V2:4258710,Pachycheles susanae,,10.7167/2013/857470
2530238,Oochoristica exsertatrialis,GBIF:8954671,hasHost,EOL:963840,Coleonyx variegatus,http://n2t.net/ark:/65665/335c4f45e-2242-4685-8254-0e662d3962c7,
3219766,Athene cunicularia,EOL_V2:1045997,eats,GBIF:2437967,Peromyscus maniculatus,urn:catalog:RSKM:OWLPELLET:OP-6187.0008,10.5886/f0xsbu
6140999,Lacerta agilis,EOL:791768,interactsWith,EOL:791768,Lacerta agilis,11977,
4364059,Stenopelmatus fuscus,EOL:606331,eats,ENVO:00002003,bovine or equine dung,"@article{Schoenly_1983,	doi = {10.1093/aesa/76.4.790},	url = {https://doi.org/10.1093%2Faesa%2F76.4.790},	year = 1983,	month = {jul},	publisher = {Oxford University Press ({OUP})},	volume = {76},	number = {4},	pages = {790--796},	author = {Kenneth Schoenly},	title = {Arthropods Associated with Bovine and Equine Dung in an Ungrazed Chihuahuan Desert Ecosystem},	journal = {Annals of the Entomological Society of America}}",
5031174,Avian orthoavulavirus 1,NCBI:2560319,hasHost,NCBI:8930,Columbidae,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
2631617,Thunnus alalunga,EOL_V2:205933,eats,EOL_V2:994979,Maurolicus muelleri,"Pusineri, C., Vasseur, Y., Hassani, S., Magnin, V., Meynier, L., Spitz, J. and Ridoux, V. 2005. Food and feeding ecology of juvenile albacore, Thunnus alalunga, off the Bay of Biscay: a case study. ICES Journal of Marine Science 62: 116-122.",
3708853,Elaphe quatuorlineata,GBIF:9197691,eats,COL:8TTQ,Acanthis hornemanni,https://datadryad.org/stash/downloads/file_stream/375180,
8969593,Aphalaroida inermis,no:match,interactsWith,EOL:643004,Prosopis juliflora,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
6128001,Pyrola,GBIF:2888249,interactsWith,ITIS:22488,Salix pulchra,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=910700,
7733741,Paranoplocephala kalelai,EOL_V2:4967930,hasHost,GBIF:5706769,Myodes rufocanus,http://arctos.database.museum/guid/MSB:Para:30,
4133603,Hylaeus mesillae cressoni,GBIF:9501053,interactsWith,GBIF:5388868,Solidago,urn:catalog:USDA-ARS:BBSL:BBSL514438,
6257749,Anchocoema ceai,GBIF:1696205,adjacentTo,no:match,coast,811ecc2e-edd0-4eb0-8a2a-10625abb9c88,
19370483,Scomber scombrus,FBC:FB:SpecCode:118,eats,EOL_V2:44659,Parathemisto,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, ICES",
1845989,Urosalpinx cinerea,EOL:503335,interactsWith,FBC:SLB:SpecCode:32262,Balanus eburneus,associations_all_revised.txt,
9526005,Aplosporella maclurae,GBIF:6019965,hasHost,ALATaxon:https://id.biodiversity.org.au/name/apni/232135,Maclura aurantiaca,tmp_host_info-20200902.csv.gz,
7121687,Scolopsis taenioptera,FBC:FB:SpecCode:5875,eats,EOL:2215,Bivalvia,"Kulbicki, M., Y.-M. Bozec, P. Labrosse, Y. Letourneur, G. Mou-Tham and L. Wantiez. 2005. Diet composition of carnivorous fishes from coral reef lagoons of New Caledonia. Aquat. Living Resour. 18:231-250.",
1366492,Corbulamella,GBIF:4587260,adjacentTo,no:match,same slab: IP.904388,http://collections.peabody.yale.edu/search/Record/YPM-IP-904530,
4976619,Rotavirus A,NCBI:28875,hasHost,NCBI:9925,Capra hircus,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
